date,subways_total_estimated_ridership
2020-07-21,1241819
2020-07-22,1233668
2020-07-23,1233795
2020-07-24,1218138
2020-07-25,816604
2020-07-26,606910
2020-07-27,1203503
2020-07-28,1241770
2020-07-29,1296102
2020-07-30,1270172
2020-07-31,1258539
2020-08-01,842468
2020-08-02,590060
2020-08-03,1272996
2020-08-04,1027187
2020-08-05,1348202
2020-08-06,1334694
2020-08-07,1283894
2020-08-08,833287
2020-08-09,662993
2020-08-10,1275268
2020-08-11,1319814
2020-08-12,1298963
2020-08-13,1291277
2020-08-14,1355786
2020-08-15,860789
2020-08-16,554451
2020-08-17,1304485
2020-08-18,1369617
2020-08-19,1292148
2020-08-20,1410489
2020-08-21,1387463
2020-08-22,882522
2020-08-23,671560
2020-08-24,1307345
2020-08-25,1346490
2020-08-26,1407639
2020-08-27,1358272
2020-08-28,1388583
2020-08-29,773667
2020-08-30,748061
2020-08-31,1397264
2020-09-01,1469274
2020-09-02,1487969
2020-09-03,1529185
2020-09-04,1568385
2020-09-05,1013725
2020-09-06,819409
2020-09-07,870964
2020-09-08,1555816
2020-09-09,1610076
2020-09-10,1543662
2020-09-11,1690334
2020-09-12,1083698
2020-09-13,796740
2020-09-14,1604381
2020-09-15,1678078
2020-09-16,1686909
2020-09-17,1692368
2020-09-18,1725443
2020-09-19,1136947
2020-09-20,827605
2020-09-21,1624139
2020-09-22,1698504
2020-09-23,1735333
2020-09-24,1722364
2020-09-25,1761591
2020-09-26,1120143
2020-09-27,846179
2020-09-28,1489240
2020-09-29,1661264
2020-09-30,1740820
2020-10-01,1809958
2020-10-02,1790612
2020-10-03,1168040
2020-10-04,852830
2020-10-05,1678792
2020-10-06,1758454
2020-10-07,1770617
2020-10-08,1798005
2020-10-09,1808079
2020-10-10,1170227
2020-10-11,848469
2020-10-12,1284655
2020-10-13,1715183
2020-10-14,1838682
2020-10-15,1853753
2020-10-16,1671320
2020-10-17,1209473
2020-10-18,896812
2020-10-19,1719153
2020-10-20,1780231
2020-10-21,1812949
2020-10-22,1825208
2020-10-23,1842588
2020-10-24,1185612
2020-10-25,885001
2020-10-26,1690651
2020-10-27,1815242
2020-10-28,1819352
2020-10-29,1705072
2020-10-30,1768018
2020-10-31,1174059
2020-11-01,786675
2020-11-02,1747908
2020-11-03,1602912
2020-11-04,1690489
2020-11-05,1793796
2020-11-06,1837314
2020-11-07,1246321
2020-11-08,927670
2020-11-09,1752614
2020-11-10,1836902
2020-11-11,1614812
2020-11-12,1776666
2020-11-13,1816693
2020-11-14,1215477
2020-11-15,820858
2020-11-16,1741750
2020-11-17,1788847
2020-11-18,1787688
2020-11-19,1757535
2020-11-20,1800423
2020-11-21,1157957
2020-11-22,817963
2020-11-23,1646525
2020-11-24,1735702
2020-11-25,1688227
2020-11-26,652276
2020-11-27,1263473
2020-11-28,1032823
2020-11-29,826974
2020-11-30,1459131
2020-12-01,1706348
2020-12-02,1699968
2020-12-03,1736045
2020-12-04,1701628
2020-12-05,1000240
2020-12-06,878393
2020-12-07,1656627
2020-12-08,1540893
2020-12-09,1701926
2020-12-10,1761336
2020-12-11,1786290
2020-12-12,1091352
2020-12-13,911439
2020-12-14,1584089
2020-12-15,1783388
2020-12-16,1569079
2020-12-17,1079818
2020-12-18,1735664
2020-12-19,1112827
2020-12-20,821265
2020-12-21,1716035
2020-12-22,1760948
2020-12-23,1772537
2020-12-24,1312480
2020-12-25,485208
2020-12-26,879170
2020-12-27,760350
2020-12-28,1510168
2020-12-29,1555198
2020-12-30,1582486
2020-12-31,1274984
2021-01-01,613692
2021-01-02,988418
2021-01-03,653187
2021-01-04,1557977
2021-01-05,1597518
2021-01-06,1613629
2021-01-07,1611099
2021-01-08,1619242
2021-01-09,990412
2021-01-10,763097
2021-01-11,1568207
2021-01-12,1640428
2021-01-13,1641652
2021-01-14,1647396
2021-01-15,1627120
2021-01-16,991500
2021-01-17,797654
2021-01-18,1276978
2021-01-19,1635915
2021-01-20,1575075
2021-01-21,1652842
2021-01-22,1672001
2021-01-23,997551
2021-01-24,741139
2021-01-25,1592468
2021-01-26,1550953
2021-01-27,1660278
2021-01-28,1646806
2021-01-29,1511680
2021-01-30,942615
2021-01-31,722853
2021-02-01,583230
2021-02-02,1005985
2021-02-03,1702598
2021-02-04,1785833
2021-02-05,1741015
2021-02-06,1148477
2021-02-07,652521
2021-02-08,1639753
2021-02-09,1666467
2021-02-10,1750121
2021-02-11,1714656
2021-02-12,1706430
2021-02-13,1092063
2021-02-14,858014
2021-02-15,1218593
2021-02-16,1627528
2021-02-17,1733160
2021-02-18,1381886
2021-02-19,1566021
2021-02-20,1110589
2021-02-21,836095
2021-02-22,1582054
2021-02-23,1730198
2021-02-24,1806306
2021-02-25,1798165
2021-02-26,1822812
2021-02-27,1072932
2021-02-28,810071
2021-03-01,1696274
2021-03-02,1749511
2021-03-03,1846431
2021-03-04,1808744
2021-03-05,1825915
2021-03-06,1167884
2021-03-07,894119
2021-03-08,1719586
2021-03-09,1834068
2021-03-10,1849077
2021-03-11,1881902
2021-03-12,1914465
2021-03-13,1257372
2021-03-14,923968
2021-03-15,1730024
2021-03-16,1798288
2021-03-17,1866414
2021-03-18,1771092
2021-03-19,1906749
2021-03-20,1307403
2021-03-21,1013386
2021-03-22,1801438
2021-03-23,1879574
2021-03-24,1828084
2021-03-25,1925768
2021-03-26,1938246
2021-03-27,1374266
2021-03-28,807247
2021-03-29,1742162
2021-03-30,1881537
2021-03-31,1808546
2021-04-01,1841815
2021-04-02,1757698
2021-04-03,1318461
2021-04-04,950194
2021-04-05,1818703
2021-04-06,1942198
2021-04-07,1985370
2021-04-08,2013413
2021-04-09,2026724
2021-04-10,1391245
2021-04-11,899646
2021-04-12,1845836
2021-04-13,2012153
2021-04-14,2018126
2021-04-15,1906733
2021-04-16,2078856
2021-04-17,1425036
2021-04-18,1082503
2021-04-19,1911326
2021-04-20,2082495
2021-04-21,1965922
2021-04-22,2040232
2021-04-23,2121350
2021-04-24,1520057
2021-04-25,985027
2021-04-26,1955370
2021-04-27,2041698
2021-04-28,2135793
2021-04-29,2028524
2021-04-30,2159476
2021-05-01,1515211
2021-05-02,1153471
2021-05-03,1971010
2021-05-04,2120071
2021-05-05,2074543
2021-05-06,2199943
2021-05-07,2238033
2021-05-08,1444674
2021-05-09,1107878
2021-05-10,1990039
2021-05-11,2148322
2021-05-12,2182277
2021-05-13,2163052
2021-05-14,2266974
2021-05-15,1637231
2021-05-16,1201904
2021-05-17,2022584
2021-05-18,2150049
2021-05-19,2257549
2021-05-20,2269471
2021-05-21,2331876
2021-05-22,1645268
2021-05-23,1268928
2021-05-24,2118877
2021-05-25,2270945
2021-05-26,2275882
2021-05-27,2352019
2021-05-28,2232599
2021-05-29,1370135
2021-05-30,1065176
2021-05-31,1389651
2021-06-01,2258831
2021-06-02,2343745
2021-06-03,2233917
2021-06-04,2310032
2021-06-05,1792204
2021-06-06,1363344
2021-06-07,2223265
2021-06-08,2265591
2021-06-09,2386026
2021-06-10,2473818
2021-06-11,2468258
2021-06-12,1775538
2021-06-13,1379959
2021-06-14,2223186
2021-06-15,2469785
2021-06-16,2519444
2021-06-17,2552497
2021-06-18,2572013
2021-06-19,1784312
2021-06-20,1389352
2021-06-21,2264368
2021-06-22,2354873
2021-06-23,2547416
2021-06-24,2552639
2021-06-25,2582713
2021-06-26,1854179
2021-06-27,1559967
2021-06-28,2252362
2021-06-29,2343739
2021-06-30,2346388
2021-07-01,2292461
2021-07-02,2296044
2021-07-03,1541988
2021-07-04,1468510
2021-07-05,1495709
2021-07-06,2302002
2021-07-07,2437064
2021-07-08,2364250
2021-07-09,2318387
2021-07-10,1781717
2021-07-11,1365854
2021-07-12,2245412
2021-07-13,2457526
2021-07-14,2517615
2021-07-15,2581582
2021-07-16,2536569
2021-07-17,1717480
2021-07-18,1405344
2021-07-19,2327756
2021-07-20,2462002
2021-07-21,2504568
2021-07-22,2582151
2021-07-23,2552330
2021-07-24,1852402
2021-07-25,1364830
2021-07-26,2318455
2021-07-27,2487947
2021-07-28,2534756
2021-07-29,2428764
2021-07-30,2557677
2021-07-31,1841007
2021-08-01,1351294
2021-08-02,2333923
2021-08-03,2483802
2021-08-04,2529002
2021-08-05,2529190
2021-08-06,2519444
2021-08-07,1780458
2021-08-08,1333885
2021-08-09,2289434
2021-08-10,2442194
2021-08-11,2475949
2021-08-12,2448589
2021-08-13,2430102
2021-08-14,1718222
2021-08-15,1430620
2021-08-16,2287627
2021-08-17,2427611
2021-08-18,2445638
2021-08-19,2439624
2021-08-20,2456334
2021-08-21,1715030
2021-08-22,745240
2021-08-23,2052669
2021-08-24,2462365
2021-08-25,2498255
2021-08-26,2480137
2021-08-27,2388210
2021-08-28,1659434
2021-08-29,1398566
2021-08-30,2321000
2021-08-31,2532584
2021-09-01,2294448
2021-09-02,1661558
2021-09-03,2390392
2021-09-04,1777639
2021-09-05,1415352
2021-09-06,1521388
2021-09-07,2233674
2021-09-08,2529619
2021-09-09,2702713
2021-09-10,2840443
2021-09-11,1983091
2021-09-12,1589976
2021-09-13,2852796
2021-09-14,3011275
2021-09-15,2987334
2021-09-16,2534545
2021-09-17,3028545
2021-09-18,2014848
2021-09-19,1596823
2021-09-20,2883211
2021-09-21,3018312
2021-09-22,3021113
2021-09-23,3016106
2021-09-24,3121747
2021-09-25,2129492
2021-09-26,1614677
2021-09-27,2873368
2021-09-28,2927715
2021-09-29,3063720
2021-09-30,3146861
2021-10-01,3162881
2021-10-02,2063660
2021-10-03,1575738
2021-10-04,2864349
2021-10-05,3091160
2021-10-06,3140986
2021-10-07,3190747
2021-10-08,3168473
2021-10-09,2052699
2021-10-10,1499385
2021-10-11,2263615
2021-10-12,3102879
2021-10-13,3157457
2021-10-14,3240686
2021-10-15,3227068
2021-10-16,2042027
2021-10-17,1629991
2021-10-18,2982883
2021-10-19,3178208
2021-10-20,3234327
2021-10-21,3267697
2021-10-22,3225816
2021-10-23,2077488
2021-10-24,1599927
2021-10-25,2994936
2021-10-26,2702635
2021-10-27,3300580
2021-10-28,3365971
2021-10-29,3251779
2021-10-30,2044310
2021-10-31,1746769
2021-11-01,3034306
2021-11-02,2848222
2021-11-03,3293732
2021-11-04,3284315
2021-11-05,3293438
2021-11-06,2195864
2021-11-07,1888985
2021-11-08,3065533
2021-11-09,3279457
2021-11-10,3351992
2021-11-11,2922235
2021-11-12,3158682
2021-11-13,2169863
2021-11-14,1703136
2021-11-15,3110969
2021-11-16,3340844
2021-11-17,3369069
2021-11-18,3412249
2021-11-19,3316999
2021-11-20,2135731
2021-11-21,1674206
2021-11-22,3130363
2021-11-23,3286591
2021-11-24,3085289
2021-11-25,1357198
2021-11-26,2089772
2021-11-27,1880422
2021-11-28,1465745
2021-11-29,2996015
2021-11-30,3207209
2021-12-01,3326469
2021-12-02,3358843
2021-12-03,3374097
2021-12-04,2318147
2021-12-05,1737352
2021-12-06,3135869
2021-12-07,3367790
2021-12-08,3378727
2021-12-09,3433600
2021-12-10,3417451
2021-12-11,2266265
2021-12-12,1829872
2021-12-13,3120850
2021-12-14,3274170
2021-12-15,3242168
2021-12-16,3219799
2021-12-17,3112088
2021-12-18,1880969
2021-12-19,1579809
2021-12-20,2716451
2021-12-21,2697325
2021-12-22,2634565
2021-12-23,2486489
2021-12-24,1575449
2021-12-25,810937
2021-12-26,1284738
2021-12-27,2007649
2021-12-28,2168419
2021-12-29,2167077
2021-12-30,2198415
2021-12-31,1627589
2022-01-01,1027918
2022-01-02,1219735
2022-01-03,2168229
2022-01-04,2289352
2022-01-05,2267942
2022-01-06,2391176
2022-01-07,2121941
2022-01-08,1486065
2022-01-09,1102472
2022-01-10,2347323
2022-01-11,2266378
2022-01-12,2459224
2022-01-13,2524197
2022-01-14,2522972
2022-01-15,1434676
2022-01-16,1165626
2022-01-17,1600048
2022-01-18,2541044
2022-01-19,2642129
2022-01-20,2545486
2022-01-21,2565781
2022-01-22,1583650
2022-01-23,1245716
2022-01-24,2536827
2022-01-25,2701246
2022-01-26,2711803
2022-01-27,2724979
2022-01-28,2703403
2022-01-29,999347
2022-01-30,1262477
2022-01-31,2575762
2022-02-01,2635083
2022-02-02,2940152
2022-02-03,2914198
2022-02-04,2725725
2022-02-05,1792780
2022-02-06,1323892
2022-02-07,2784230
2022-02-08,3016648
2022-02-09,3088775
2022-02-10,3112489
2022-02-11,3015472
2022-02-12,2026308
2022-02-13,1349864
2022-02-14,2907825
2022-02-15,3030742
2022-02-16,3100639
2022-02-17,3109956
2022-02-18,2953785
2022-02-19,1792136
2022-02-20,1477125
2022-02-21,1942267
2022-02-22,2669508
2022-02-23,2894245
2022-02-24,2858146
2022-02-25,2575630
2022-02-26,1824833
2022-02-27,1403227
2022-02-28,2915786
2022-03-01,3138181
2022-03-02,3208166
2022-03-03,3207495
2022-03-04,3077537
2022-03-05,1955535
2022-03-06,1444501
2022-03-07,2980920
2022-03-08,3244473
2022-03-09,3113559
2022-03-10,3339363
2022-03-11,3195956
2022-03-12,1663893
2022-03-13,1479406
2022-03-14,3008800
2022-03-15,3275906
2022-03-16,3332335
2022-03-17,3175784
2022-03-18,3275433
2022-03-19,2001839
2022-03-20,1656673
2022-03-21,3034759
2022-03-22,3276940
2022-03-23,3275708
2022-03-24,3212181
2022-03-25,3218970
2022-03-26,2024596
2022-03-27,1534056
2022-03-28,2989874
2022-03-29,3291883
2022-03-30,3336073
2022-03-31,3323135
2022-04-01,3237107
2022-04-02,2128435
2022-04-03,1463932
2022-04-04,3127667
2022-04-05,3356454
2022-04-06,3311547
2022-04-07,3307076
2022-04-08,3347754
2022-04-09,2190396
2022-04-10,1707748
2022-04-11,3205728
2022-04-12,3078069
2022-04-13,3220964
2022-04-14,3297697
2022-04-15,2761532
2022-04-16,1986306
2022-04-17,1512633
2022-04-18,2676254
2022-04-19,2962130
2022-04-20,3098046
2022-04-21,3033422
2022-04-22,2985684
2022-04-23,2109188
2022-04-24,1655860
2022-04-25,3026541
2022-04-26,3281657
2022-04-27,3432282
2022-04-28,3404938
2022-04-29,3257634
2022-04-30,2108746
2022-05-01,1683953
2022-05-02,2732825
2022-05-03,3402882
2022-05-04,3364902
2022-05-05,3502522
2022-05-06,3190556
2022-05-07,1842808
2022-05-08,1582133
2022-05-09,3114506
2022-05-10,3412902
2022-05-11,3440378
2022-05-12,3430104
2022-05-13,3252002
2022-05-14,2149046
2022-05-15,1760359
2022-05-16,3080043
2022-05-17,3536021
2022-05-18,3605606
2022-05-19,3467327
2022-05-20,3271914
2022-05-21,2324245
2022-05-22,1760638
2022-05-23,3111755
2022-05-24,3378506
2022-05-25,3426530
2022-05-26,3341059
2022-05-27,3031130
2022-05-28,1872775
2022-05-29,1755236
2022-05-30,1694970
2022-05-31,3176109
2022-06-01,3381297
2022-06-02,3351902
2022-06-03,3283271
2022-06-04,2178024
2022-06-05,1724983
2022-06-06,3092181
2022-06-07,3392224
2022-06-08,3492805
2022-06-09,3297157
2022-06-10,3376125
2022-06-11,2231451
2022-06-12,1674607
2022-06-13,3168681
2022-06-14,3494822
2022-06-15,3526802
2022-06-16,3409624
2022-06-17,3247379
2022-06-18,2186635
2022-06-19,1725762
2022-06-20,2460659
2022-06-21,3339793
2022-06-22,3357113
2022-06-23,3407485
2022-06-24,3296412
2022-06-25,2286963
2022-06-26,2011977
2022-06-27,2932598
2022-06-28,3248338
2022-06-29,3249261
2022-06-30,3151572
2022-07-01,2827549
2022-07-02,1847093
2022-07-03,1654774
2022-07-04,1608084
2022-07-05,2802814
2022-07-06,3066462
2022-07-07,3115604
2022-07-08,2902322
2022-07-09,2061419
2022-07-10,1681041
2022-07-11,2876587
2022-07-12,3148320
2022-07-13,3229387
2022-07-14,3203104
2022-07-15,3021651
2022-07-16,2093206
2022-07-17,1674922
2022-07-18,2720012
2022-07-19,3169016
2022-07-20,3190942
2022-07-21,3109097
2022-07-22,2942752
2022-07-23,2028696
2022-07-24,1596195
2022-07-25,2727722
2022-07-26,3175001
2022-07-27,3232796
2022-07-28,3151913
2022-07-29,2932846
2022-07-30,2074421
2022-07-31,1649097
2022-08-01,2739262
2022-08-02,3070101
2022-08-03,3124038
2022-08-04,3049076
2022-08-05,2822155
2022-08-06,1999580
2022-08-07,1542311
2022-08-08,2705428
2022-08-09,3013784
2022-08-10,3134434
2022-08-11,3093548
2022-08-12,2963913
2022-08-13,2089217
2022-08-14,1677803
2022-08-15,2768347
2022-08-16,3045892
2022-08-17,3074027
2022-08-18,3077928
2022-08-19,2918737
2022-08-20,2038622
2022-08-21,1619422
2022-08-22,2622885
2022-08-23,2992615
2022-08-24,3020710
2022-08-25,3090901
2022-08-26,2863653
2022-08-27,2066542
2022-08-28,1651689
2022-08-29,2836374
2022-08-30,3091873
2022-08-31,3144027
2022-09-01,3114667
2022-09-02,2925306
2022-09-03,2116811
2022-09-04,1802349
2022-09-05,1691887
2022-09-06,3063503
2022-09-07,3444556
2022-09-08,3644407
2022-09-09,3481756
2022-09-10,2356865
2022-09-11,1737251
2022-09-12,3382150
2022-09-13,3618354
2022-09-14,3741978
2022-09-15,3747731
2022-09-16,3502358
2022-09-17,2350888
2022-09-18,1844317
2022-09-19,3369999
2022-09-20,3767024
2022-09-21,3878782
2022-09-22,3732919
2022-09-23,3626482
2022-09-24,2377091
2022-09-25,1759832
2022-09-26,2812853
2022-09-27,3204114
2022-09-28,3712354
2022-09-29,3707751
2022-09-30,3503239
2022-10-01,2032983
2022-10-02,1621851
2022-10-03,3370048
2022-10-04,3397689
2022-10-05,3077346
2022-10-06,3848909
2022-10-07,3591080
2022-10-08,2397249
2022-10-09,1917721
2022-10-10,2556722
2022-10-11,3649405
2022-10-12,3776129
2022-10-13,3682799
2022-10-14,3578772
2022-10-15,2363501
2022-10-16,1773903
2022-10-17,3314497
2022-10-18,3693627
2022-10-19,3814404
2022-10-20,3810901
2022-10-21,3570334
2022-10-22,2430406
2022-10-23,1740520
2022-10-24,3357840
2022-10-25,3712582
2022-10-26,3794534
2022-10-27,3892985
2022-10-28,3624748
2022-10-29,2440601
2022-10-30,1875953
2022-10-31,3410892
2022-11-01,3706707
2022-11-02,3788123
2022-11-03,3802455
2022-11-04,3586358
2022-11-05,2449943
2022-11-06,2116063
2022-11-07,3456868
2022-11-08,3431700
2022-11-09,3772030
2022-11-10,3802230
2022-11-11,2994708
2022-11-12,2431419
2022-11-13,1794024
2022-11-14,3401075
2022-11-15,3713627
2022-11-16,3751773
2022-11-17,3797815
2022-11-18,3539202
2022-11-19,2323449
2022-11-20,1721187
2022-11-21,3363626
2022-11-22,3548882
2022-11-23,3263998
2022-11-24,1382266
2022-11-25,2058658
2022-11-26,1999608
2022-11-27,1476228
2022-11-28,3265971
2022-11-29,3596894
2022-11-30,3568413
2022-12-01,3770495
2022-12-02,3600504
2022-12-03,2291687
2022-12-04,1990479
2022-12-05,3481640
2022-12-06,3753299
2022-12-07,3835333
2022-12-08,3931499
2022-12-09,3710928
2022-12-10,2663493
2022-12-11,1865579
2022-12-12,3466978
2022-12-13,3763568
2022-12-14,3777173
2022-12-15,3726154
2022-12-16,3270016
2022-12-17,2577771
2022-12-18,1967199
2022-12-19,3381411
2022-12-20,3586084
2022-12-21,3563236
2022-12-22,3187083
2022-12-23,2738016
2022-12-24,1411469
2022-12-25,1008452
2022-12-26,1812842
2022-12-27,2729514
2022-12-28,2947028
2022-12-29,3039432
2022-12-30,3063480
2022-12-31,1927101
2023-01-01,1675507
2023-01-02,1938154
2023-01-03,3175777
2023-01-04,3413052
2023-01-05,3428520
2023-01-06,3229858
2023-01-07,2116138
2023-01-08,1610764
2023-01-09,3145743
2023-01-10,3469177
2023-01-11,3508962
2023-01-12,3472709
2023-01-13,3270020
2023-01-14,2072387
2023-01-15,1705804
2023-01-16,2172218
2023-01-17,3451604
2023-01-18,3603344
2023-01-19,3492226
2023-01-20,3375887
2023-01-21,2137169
2023-01-22,1593386
2023-01-23,3135214
2023-01-24,3566756
2023-01-25,3511071
2023-01-26,3629029
2023-01-27,3335372
2023-01-28,2248107
2023-01-29,1637398
2023-01-30,3223530
2023-01-31,3654404
2023-02-01,3682758
2023-02-02,3699932
2023-02-03,3189550
2023-02-04,1742435
2023-02-05,1625375
2023-02-06,3372445
2023-02-07,3738539
2023-02-08,3780682
2023-02-09,3754859
2023-02-10,3539529
2023-02-11,2333625
2023-02-12,1746099
2023-02-13,3303337
2023-02-14,3812943
2023-02-15,3762817
2023-02-16,3683782
2023-02-17,3253165
2023-02-18,2271106
2023-02-19,1824136
2023-02-20,2238557
2023-02-21,3325542
2023-02-22,3454362
2023-02-23,3498367
2023-02-24,3246699
2023-02-25,2043635
2023-02-26,1625191
2023-02-27,3337916
2023-02-28,3412079
2023-03-01,3780713
2023-03-02,3765925
2023-03-03,3481830
2023-03-04,2173217
2023-03-05,1772121
2023-03-06,3427019
2023-03-07,3773780
2023-03-08,3842861
2023-03-09,3827656
2023-03-10,3502339
2023-03-11,2230530
2023-03-12,1773585
2023-03-13,3352388
2023-03-14,3577250
2023-03-15,3912366
2023-03-16,3949788
2023-03-17,3661519
2023-03-18,2417873
2023-03-19,1894476
2023-03-20,3442589
2023-03-21,3801084
2023-03-22,3797399
2023-03-23,3774396
2023-03-24,3534300
2023-03-25,2153554
2023-03-26,1939984
2023-03-27,3397258
2023-03-28,3765920
2023-03-29,3872948
2023-03-30,3860289
2023-03-31,3573735
2023-04-01,2283533
2023-04-02,1949665
2023-04-03,3597785
2023-04-04,3906882
2023-04-05,3799965
2023-04-06,3421271
2023-04-07,3130675
2023-04-08,2393347
2023-04-09,1855826
2023-04-10,3142740
2023-04-11,3537843
2023-04-12,3576687
2023-04-13,3628304
2023-04-14,3471420
2023-04-15,2365464
2023-04-16,1864753
2023-04-17,3418834
2023-04-18,3862133
2023-04-19,3927706
2023-04-20,4002433
2023-04-21,3492257
2023-04-22,2506140
2023-04-23,1923243
2023-04-24,3561262
2023-04-25,3956922
2023-04-26,3994837
2023-04-27,3999831
2023-04-28,3703088
2023-04-29,2179978
2023-04-30,1744098
2023-05-01,3664755
2023-05-02,3961858
2023-05-03,4030601
2023-05-04,3985001
2023-05-05,3759375
2023-05-06,2563102
2023-05-07,2033790
2023-05-08,3563340
2023-05-09,3925555
2023-05-10,4014009
2023-05-11,4015942
2023-05-12,3723192
2023-05-13,2487178
2023-05-14,1926966
2023-05-15,3553443
2023-05-16,4002015
2023-05-17,4104786
2023-05-18,4082154
2023-05-19,3789929
2023-05-20,2314672
2023-05-21,2132724
2023-05-22,3571748
2023-05-23,3929003
2023-05-24,3960264
2023-05-25,3859385
2023-05-26,3496511
2023-05-27,2375741
2023-05-28,2029088
2023-05-29,1952779
2023-05-30,3714864
2023-05-31,3911382
2023-06-01,3894167
2023-06-02,3626490
2023-06-03,2411704
2023-06-04,1988330
2023-06-05,3544106
2023-06-06,3929131
2023-06-07,3743889
2023-06-08,3268529
2023-06-09,3425232
2023-06-10,2608756
2023-06-11,2075651
2023-06-12,3479404
2023-06-13,3968160
2023-06-14,3893073
2023-06-15,3928393
2023-06-16,3395938
2023-06-17,2399521
2023-06-18,1977582
2023-06-19,2636887
2023-06-20,3782810
2023-06-21,3902298
2023-06-22,3782472
2023-06-23,3470575
2023-06-24,2467994
2023-06-25,2222704
2023-06-26,3341322
2023-06-27,3744227
2023-06-28,3634270
2023-06-29,3653631
2023-06-30,3259767
2023-07-01,2239529
2023-07-02,1783757
2023-07-03,2662052
2023-07-04,1791179
2023-07-05,3318379
2023-07-06,3494806
2023-07-07,3292266
2023-07-08,2308794
2023-07-09,1776607
2023-07-10,3208730
2023-07-11,3613670
2023-07-12,3696737
2023-07-13,3648007
2023-07-14,3209393
2023-07-15,2326054
2023-07-16,1599858
2023-07-17,3282092
2023-07-18,3584819
2023-07-19,3679343
2023-07-20,3711017
2023-07-21,3227154
2023-07-22,2459990
2023-07-23,1984503
2023-07-24,3255379
2023-07-25,3630414
2023-07-26,3758378
2023-07-27,3580012
2023-07-28,3266199
2023-07-29,2251524
2023-07-30,1952433
2023-07-31,3204920
2023-08-01,3598379
2023-08-02,3640307
2023-08-03,3609076
2023-08-04,3228510
2023-08-05,2364364
2023-08-06,1910841
2023-08-07,3041001
2023-08-08,3510047
2023-08-09,3613062
2023-08-10,3429304
2023-08-11,3311714
2023-08-12,2366787
2023-08-13,1953558
2023-08-14,3092801
2023-08-15,3385996
2023-08-16,3447648
2023-08-17,3385056
2023-08-18,3182516
2023-08-19,2358962
2023-08-20,1870625
2023-08-21,2971166
2023-08-22,3352769
2023-08-23,3412842
2023-08-24,3297927
2023-08-25,3034255
2023-08-26,2281885
2023-08-27,1909806
2023-08-28,3121505
2023-08-29,3401088
2023-08-30,3462970
2023-08-31,3450532
2023-09-01,3196284
2023-09-02,2307416
2023-09-03,2013506
2023-09-04,1879819
2023-09-05,3483755
