date,subways_total_estimated_ridership,subways_of_comparable_pre_pandemic_day,buses_total_estimated_ridersip,buses_of_comparable_pre_pandemic_day,lirr_total_estimated_ridership,lirr_of_comparable_pre_pandemic_day,metro_north_total_estimated_ridership,metro_north_of_comparable_pre_pandemic_day,access_a_ride_total_scheduled_trips,access_a_ride_of_comparable_pre_pandemic_day,bridges_and_tunnels_total_traffic,bridges_and_tunnels_of_comparable_pre_pandemic_day,staten_island_railway_total_estimated_ridership,staten_island_railway_of_comparable_pre_pandemic_day
2023-01-09T00:00:00.000,3145743,0.61,1353638,0.66,173594,0.57,157335,0.58,24923,0.88,829372,0.95,6629,0.40
2023-01-10T00:00:00.000,3469177,0.67,1412543,0.69,196817,0.65,179530,0.67,27309,0.97,859974,0.99,7414,0.45
2023-01-11T00:00:00.000,3508962,0.68,1421914,0.69,188904,0.63,174349,0.65,27991,0.99,864282,0.99,7166,0.44
2023-01-12T00:00:00.000,3472709,0.68,1364715,0.67,188850,0.62,168701,0.63,27119,0.96,881579,1.01,7150,0.44
2023-01-13T00:00:00.000,3270020,0.64,1345748,0.66,167475,0.55,147885,0.55,26085,0.92,922864,1.06,6042,0.37
2023-01-14T00:00:00.000,2072387,0.77,785952,0.66,84718,0.87,83565,0.64,15407,1.06,817979,1.07,2059,0.50
2023-01-15T00:00:00.000,1705804,0.82,621041,0.68,72479,0.88,70493,0.78,15198,1.13,757778,1.11,1510,0.55
2023-01-16T00:00:00.000,2172218,1.04,884152,0.96,82416,1.00,75892,0.84,14617,1.08,812347,1.19,3140,1.15
2023-01-17T00:00:00.000,3451604,0.67,1399573,0.68,193345,0.64,183674,0.68,27214,0.96,870650,1.00,7492,0.46
2023-01-18T00:00:00.000,3603344,0.70,1449590,0.71,198264,0.66,182209,0.68,29223,1.03,877542,1.01,7488,0.46
2023-01-19T00:00:00.000,3492226,0.68,1327804,0.65,179752,0.59,170122,0.63,26737,0.95,862336,0.99,6925,0.42
2023-01-20T00:00:00.000,3375887,0.66,1383181,0.68,173943,0.58,150003,0.56,26548,0.94,915022,1.05,6192,0.38
2023-01-21T00:00:00.000,2137169,0.79,823236,0.69,88435,0.91,84763,0.65,15580,1.07,826850,1.08,2058,0.50
2023-01-22T00:00:00.000,1593386,0.76,611151,0.67,64883,0.78,61728,0.68,14721,1.09,744230,1.09,1479,0.54
2023-01-23T00:00:00.000,3135214,0.61,1281037,0.63,172927,0.57,155439,0.58,25087,0.89,809261,0.93,6210,0.38
2023-01-24T00:00:00.000,3566756,0.69,1410676,0.69,196319,0.65,182127,0.68,27701,0.98,863886,0.99,7335,0.45
2023-01-25T00:00:00.000,3511071,0.68,1342717,0.66,188247,0.62,171748,0.64,26738,0.95,815210,0.94,6937,0.42
2023-01-26T00:00:00.000,3629029,0.71,1408545,0.69,190219,0.63,173696,0.65,27061,0.96,890830,1.03,7093,0.43
2023-01-27T00:00:00.000,3335372,0.65,1341589,0.66,178881,0.59,149763,0.56,26826,0.95,920095,1.06,6051,0.37
2023-01-28T00:00:00.000,2248107,0.83,861680,0.72,98609,1.01,89845,0.69,15577,1.07,841863,1.10,2333,0.57
2023-01-29T00:00:00.000,1637398,0.78,647923,0.71,73109,0.88,65422,0.72,15371,1.14,764625,1.12,1694,0.62
2023-01-30T00:00:00.000,3223530,0.63,1371537,0.67,180476,0.60,159176,0.59,25676,0.91,850406,0.98,6624,0.40
2023-01-31T00:00:00.000,3654404,0.71,1365926,0.67,198755,0.66,183484,0.68,27308,0.97,852930,0.98,7593,0.46
2023-02-01T00:00:00.000,3682758,0.68,1460146,0.68,184043,0.61,169846,0.63,28492,0.97,868518,0.98,7588,0.47
2023-02-02T00:00:00.000,3699932,0.68,1478477,0.69,187799,0.62,169864,0.63,27917,0.95,894790,1.01,7457,0.46
2023-02-03T00:00:00.000,3189550,0.59,1246821,0.58,158579,0.52,135908,0.50,26238,0.89,887417,1.00,5819,0.36
2023-02-04T00:00:00.000,1742435,0.61,598818,0.47,69433,0.74,64032,0.49,13439,0.83,737000,0.89,1555,0.36
2023-02-05T00:00:00.000,1625375,0.74,650623,0.67,69379,0.89,62639,0.69,15413,0.91,758529,1.01,1522,0.54
2023-02-06T00:00:00.000,3372445,0.62,1431232,0.67,181320,0.60,157813,0.59,26639,0.91,849008,0.96,7068,0.44
2023-02-07T00:00:00.000,3738539,0.69,1491417,0.69,201438,0.67,183389,0.68,28688,0.97,867827,0.98,7736,0.48
